Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Hugo Villalobos,CLE,0,0,0,5.69205,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0516,6.066,0.997626,1.332,0.143491,0.143833,-0.0003414452075958,0.272608,1.7559,0.296636,0.69723,0.446048,,5.84353,-0.0195541,-0.051406,999.0,,,,sa3008729
Elvis Jerez,CLE,0,0,0,5.68485,1,0,0,0,1,5,1,1,1,0,1,0,1,7.0614,6.2064,1.13776,1.45,0.167901,0.147571,0.020329549908638,0.260924,1.7167,0.289562,0.701139,0.384721,,5.84748,-0.0195988,-0.051406,999.0,,,,sa3009469
Niklas Rimmel,MIN,0,0,0,5.71239,1,0,0,0,1,5,1,1,1,0,1,0,1,6.2037,6.0723,1.02164,1.297,0.14666,0.143553,0.0031063854694366,0.27148,1.755,0.297591,0.694031,0.420262,,5.76938,-0.0196395,-0.0529678,999.0,,,,sa3008426
Carlos De Los Santos,LAD,0,0,0,5.92497,1,0,0,0,1,5,1,1,1,0,1,0,1,6.4638,5.9463,1.08703,1.518,0.152452,0.140246,0.0122054666280746,0.274008,1.7575,0.297867,0.695427,0.408178,,5.9933,-0.0196463,-0.0505732,999.0,,,,sa3005448
Joan Valdez,LAD,0,0,0,5.89545,1,0,0,0,1,5,1,1,1,0,1,0,1,6.7185,5.958,1.12764,1.556,0.158796,0.140821,0.0179748982191085,0.270334,1.7412,0.294955,0.697926,0.38952,,5.99369,-0.0196506,-0.0505732,999.0,,,,sa3003013
Tyler Garbee,,0,0,0,5.868,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1641,6.0408,1.02041,1.409,0.145476,0.142566,0.0029099434614181,0.272891,1.7596,0.296111,0.692472,0.400006,,5.93665,-0.0196534,-0.0496318,999.0,,,,sa1170086
Carlos Vargas,ARI,1,1,0,4.34318,21,0,0,1,21,92,21,11,10,2,9,1,19,8.07021,4.04593,1.99465,0.99,0.204176,0.102362,0.1018139943480491,0.255538,1.44566,0.306464,0.714999,0.463809,,4.23008,-0.0196987,-0.00231132,999.0,,,,sa3007467
Tyler Alexander,DET,3,3,0,4.22981,61,0,1,12,61,259,63,31,29,9,14,2,48,7.01606,2.13452,3.28695,1.262,0.183353,0.0557821,0.1275707967579364,0.261558,1.27727,0.294388,0.71559,0.377928,,4.20157,-0.0197248,-0.081173,746.4000244140625,,,,17735
James Acuna,ATL,0,0,0,5.8707,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1227,5.9733,1.02501,1.325,0.143735,0.140228,0.0035073012113571,0.277614,1.7771,0.303536,0.688356,0.438416,,5.83292,-0.019766,-0.0470741,999.0,,,,sa3014969
Yeremi Ceballos,,0,0,0,5.73399,1,0,0,0,1,5,1,1,1,0,1,0,1,6.6771,6.9525,0.960388,1.277,0.155567,0.161984,-0.0064164251089096,0.266346,1.8231,0.296895,0.704421,0.403998,,5.94669,-0.0197665,-0.0496318,999.0,,,,sa917883
Nate Tellier,BOS,0,0,0,6.05646,1,0,0,0,1,5,1,1,1,0,1,0,1,6.6123,6.6024,1.0015,1.307,0.154057,0.153827,0.0002306550741195,0.274826,1.8287,0.305941,0.684944,0.425746,,5.88382,-0.0197746,-0.0462556,999.0,,,,sa3015288
Jason Reynolds,,0,0,0,5.75424,1,0,0,0,1,5,1,1,1,0,1,0,1,5.7654,5.8113,0.992102,1.448,0.137291,0.138384,-0.0010930150747299,0.270651,1.7191,0.288358,0.695248,0.402317,,6.02279,-0.0197802,-0.0520679,999.0,,,,sa3010577
Jacob Coats,HOU,0,0,0,5.76369,1,0,0,0,1,5,1,1,1,0,1,0,1,6.723,6.2523,1.07528,1.417,0.159411,0.14825,0.0111608952283859,0.266928,1.7484,0.294525,0.698374,0.405186,,5.88071,-0.0197816,-0.0516033,999.0,,,,sa3018150
Miguel Suero,,0,0,0,5.85846,1,0,0,0,1,5,1,1,1,0,1,0,1,4.878,5.7276,0.851666,1.296,0.115001,0.135031,-0.0200296938419342,0.285746,1.7879,0.301304,0.688268,0.461534,,5.95003,-0.0198041,-0.0496318,999.0,,,,sa3006066
Orlando Ortiz-Mayr,LAD,0,0,0,6.01902,1,0,0,0,1,5,1,1,1,0,1,0,1,5.8752,5.3784,1.09237,1.561,0.139012,0.127257,0.0117547065019607,0.282205,1.7396,0.300751,0.687477,0.419102,,6.00951,-0.0198272,-0.0505732,999.0,,,,sa3018181
Wellington Diaz,,0,0,0,5.86611,1,0,0,0,1,5,1,1,1,0,1,0,1,6.2163,6.2433,0.995675,1.374,0.146211,0.146846,-0.0006350576877593,0.272094,1.7762,0.296594,0.693071,0.408001,,5.9525,-0.0198319,-0.0496318,999.0,,,,sa3004579
Palmer Wenzel,,0,0,0,5.87682,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5548,6.1173,0.908048,1.315,0.130541,0.143761,-0.0132191181182861,0.279518,1.7985,0.300279,0.691178,0.441012,,5.95368,-0.0198452,-0.0496318,999.0,,,,sa3018095
Carlos Marcano,DET,0,0,0,5.7681,1,0,0,0,1,5,1,1,1,0,1,0,1,5.1831,6.0219,0.860708,1.221,0.122376,0.14218,-0.0198045074939727,0.279629,1.7858,0.298919,0.689719,0.444711,,5.8618,-0.0198505,-0.0519513,999.0,,,,sa3015509
James Marinan,CIN,0,0,0,6.4782,1,0,0,0,1,5,1,1,1,0,1,0,1,5.9328,5.598,1.05981,1.765,0.139454,0.131585,0.0078696906566619,0.286865,1.7865,0.302235,0.678398,0.400277,,6.34628,-0.0198736,-0.0419301,999.0,,,,sa3005121
Sergio Morillo,CLE,0,0,0,5.69286,1,0,0,0,1,5,1,1,1,0,1,0,1,6.3585,6.4989,0.978396,1.282,0.149809,0.153117,-0.003307893872261,0.269347,1.784,0.297216,0.698735,0.454588,,5.87171,-0.0198739,-0.051406,999.0,,,,sa3005196
Riggs Threadgill,WSN,0,0,0,6.07329,1,0,0,0,1,5,1,1,1,0,1,0,1,5.4261,6.3945,0.848557,1.383,0.126846,0.149485,-0.0226383358240127,0.280219,1.8295,0.298243,0.688258,0.43526,,6.1834,-0.0198767,-0.0465365,999.0,,,,sa3018111
Oliver Roque,CHC,0,0,0,5.91921,1,0,0,0,1,5,1,1,1,0,1,0,1,5.3919,5.6763,0.949897,1.372,0.127549,0.134277,-0.0067276954650878,0.282398,1.7656,0.300697,0.685553,0.440694,,5.93061,-0.0198994,-0.0489311,999.0,,,,sa3015465
Christian Vann,,0,0,0,5.7051,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1866,6.7869,0.91155,1.254,0.144412,0.158424,-0.0140126049518585,0.269892,1.8219,0.296666,0.703944,0.421012,,5.95976,-0.0199138,-0.0496318,999.0,,,,sa3007812
Enrique Santana,NYY,0,0,0,5.61843,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1695,6.2334,0.989749,1.309,0.14511,0.146613,-0.0015029609203338,0.270633,1.7698,0.295856,0.703177,0.45101,,5.86331,-0.0199173,-0.05322,999.0,,,,sa3007496
Luigi Hernandez,PIT,0,0,0,6.05709,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5827,6.2064,0.899507,1.338,0.130397,0.144965,-0.0145680010318756,0.280771,1.8183,0.301453,0.684091,0.433832,,6.0155,-0.019934,-0.0485816,999.0,,,,sa3016022
Heribert Garcia,,0,0,0,5.93739,1,0,0,0,1,5,1,1,1,0,1,0,1,5.1867,4.8663,1.06584,1.562,0.124122,0.116455,0.0076674595475196,0.283149,1.6904,0.294859,0.684596,0.386005,,5.96385,-0.0199497,-0.0496221,999.0,,,,sa3006408
Marlon Perez,WSN,0,0,0,5.98122,1,0,0,0,1,5,1,1,1,0,1,0,1,5.8815,6.3432,0.927213,1.475,0.137957,0.148786,-0.0108296424150466,0.273234,1.7938,0.291998,0.696325,0.37598,,6.19019,-0.0199515,-0.0465365,999.0,,,,sa3018235
Aaron Holiday,SDP,0,0,0,5.79222,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1974,6.1227,1.0122,1.468,0.147168,0.145394,0.0017738938331604,0.26709,1.7356,0.28786,0.697896,0.385348,,6.03938,-0.0199666,-0.0520679,999.0,,,,sa3017937
Kelvin Caceres,LAA,0,0,0,5.94981,1,0,0,0,1,5,1,1,1,0,1,0,1,6.8481,6.9039,0.991918,1.412,0.159618,0.160919,-0.0013006031513214,0.266403,1.8163,0.295407,0.696706,0.425796,,6.11599,-0.0200266,-0.0495741,999.0,,,,sa3005876
Evan Brabrand,,0,0,0,5.93541,1,0,0,0,1,5,1,1,1,0,1,0,1,5.4585,5.3478,1.0207,1.491,0.129733,0.127102,0.0026310235261917,0.28049,1.7262,0.296091,0.686624,0.397004,,5.9707,-0.0200268,-0.0496221,999.0,,,,sa3010576
Edward Urena,WSN,0,0,0,6.08517,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5278,6.2532,0.883995,1.449,0.12966,0.146675,-0.0170149952173233,0.278459,1.8073,0.295497,0.688349,0.415298,,6.20243,-0.0200864,-0.0465365,999.0,,,,sa3015161
Trey Benton,CLE,0,0,0,5.69475,1,0,0,0,1,5,1,1,1,0,1,0,1,6.5034,6.6357,0.980062,1.303,0.153191,0.156307,-0.0031163841485977,0.267051,1.7886,0.295349,0.701363,0.441514,,5.89024,-0.0200943,-0.0514158,999.0,,,,sa3015034
Jonas De La Cruz,,0,0,0,5.92839,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0282,5.886,1.02416,1.456,0.14242,0.13906,0.0033595561981201,0.274628,1.7532,0.295631,0.690242,0.394987,,5.97744,-0.0201028,-0.0496221,999.0,,,,sa3002680
Nate Peden,,0,0,0,5.94315,1,0,0,0,1,5,1,1,1,0,1,0,1,5.6691,5.8878,0.962855,1.463,0.133907,0.139073,-0.0051658302545547,0.277896,1.7667,0.295855,0.691433,0.41899,,6.06795,-0.0201127,-0.0479359,999.0,,,,sa3005017
Chih-Ting Wang,,0,0,0,5.82768,1,0,0,0,1,5,1,1,1,0,1,0,1,5.8653,6.0012,0.977355,1.404,0.138277,0.141481,-0.0032039135694503,0.274587,1.7649,0.2952,0.695894,0.395996,,5.97873,-0.0201173,-0.0496221,999.0,,,,sa3007602
Jason Ruffcorn,PHI,0,0,0,6.00192,1,0,0,0,1,5,1,1,1,0,1,0,1,5.805,6.4485,0.900209,1.411,0.135704,0.150747,-0.0150431245565414,0.276576,1.8199,0.296959,0.693384,0.43261,,6.15104,-0.0201293,-0.0472441,999.0,,,,sa3017193
Audry Lugo,,0,0,0,5.89923,1,0,0,0,1,5,1,1,1,0,1,0,1,5.6178,6.0111,0.934571,1.351,0.132078,0.141325,-0.0092467218637466,0.278455,1.783,0.298731,0.689515,0.429994,,5.97968,-0.0201381,-0.0496318,999.0,,,,sa3008710
Maceo Campbell,BOS,0,0,0,6.09093,1,0,0,0,1,5,1,1,1,0,1,0,1,6.399,6.4278,0.995519,1.344,0.14937,0.150042,-0.0006722658872604,0.276661,1.8204,0.304922,0.683533,0.42072,,5.91656,-0.0201455,-0.0462556,999.0,,,,sa3016797
Peyton Williams,ATL,0,0,0,5.94522,1,0,0,0,1,5,1,1,1,0,1,0,1,6.066,5.6781,1.06832,1.43,0.143069,0.133921,0.0091487914323806,0.279025,1.7559,0.302003,0.687206,0.409474,,5.86729,-0.0201468,-0.0470645,999.0,,,,sa3010813
Andricson Salvador,CHC,0,0,0,5.75712,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0408,6.5943,0.916064,1.283,0.141424,0.154383,-0.012958288192749,0.272881,1.8159,0.298074,0.701345,0.417162,,5.95275,-0.0201509,-0.0489311,999.0,,,,sa3010266
Chad Sykes,LAA,0,0,0,6.06375,1,0,0,0,1,5,1,1,1,0,1,0,1,6.2289,5.8329,1.06789,1.598,0.147005,0.137659,0.0093457996845245,0.275071,1.7513,0.294703,0.690547,0.385913,,6.12865,-0.0201657,-0.0495741,999.0,,,,sa1169870
Angello Infante,,0,0,0,5.95611,1,0,0,0,1,5,1,1,1,0,1,0,1,5.1381,4.617,1.11287,1.598,0.123145,0.110656,0.0124892145395278,0.2834,1.6657,0.293812,0.680816,0.378003,,5.98465,-0.020184,-0.0496221,999.0,,,,sa916705
Sam Kessler,,0,0,0,5.89761,1,0,0,0,1,5,1,1,1,0,1,0,1,6.4557,6.615,0.975918,1.349,0.150979,0.154704,-0.003725528717041,0.2701,1.806,0.297323,0.694794,0.409001,,5.98379,-0.0201844,-0.0496318,999.0,,,,sa3010650
Carlos Lomeli,PIT,0,0,0,6.03846,1,0,0,0,1,5,1,1,1,0,1,0,1,5.1444,5.8176,0.884282,1.372,0.120616,0.1364,-0.0157839134335517,0.28352,1.7925,0.299442,0.682994,0.424817,,6.04081,-0.0202056,-0.048572,999.0,,,,sa3018108
Wilkin Ramos,NYM,0,0,0,5.58189,1,0,0,0,1,5,1,1,1,0,1,0,1,5.7501,6.2082,0.92621,1.213,0.135418,0.146206,-0.010788470506668,0.274597,1.7822,0.298835,0.70078,0.468552,,5.80614,-0.020229,-0.0555289,999.0,,,,sa3006487
Tyler Ras,COL,0,0,0,6.99453,1,0,0,0,1,5,1,1,1,0,1,0,1,5.2776,6.3,0.837714,1.567,0.120559,0.143914,-0.0233552679419517,0.305349,1.9581,0.322646,0.662819,0.44815,,6.43448,-0.0202364,-0.0354658,999.0,,,,sa3017718
Brett Lockwood,CIN,0,0,0,6.44688,1,0,0,0,1,5,1,1,1,0,1,0,1,4.752,6.5682,0.723486,1.372,0.109136,0.150847,-0.0417114570736885,0.298035,1.9389,0.312948,0.680739,0.499104,,6.38151,-0.0202498,-0.0419301,999.0,,,,sa3015041
Alex Martinez,LAA,0,0,0,5.99607,1,0,0,0,1,5,1,1,1,0,1,0,1,6.3468,6.9507,0.913117,1.362,0.147377,0.1614,-0.0140229910612106,0.273028,1.8542,0.299597,0.69657,0.441749,,6.13656,-0.0202526,-0.0495741,999.0,,,,sa3015284
Nathanael Heredia,STL,0,0,0,5.45418,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1479,7.2351,0.849733,1.115,0.14372,0.169135,-0.0254155248403549,0.264261,1.8328,0.293215,0.712325,0.45172,,5.93529,-0.0202555,-0.0515863,999.0,,,,sa3009986
Brailin Gonzalez,,0,0,0,5.72337,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0417,7.0713,0.854397,1.186,0.140234,0.164132,-0.0238980650901794,0.27209,1.8607,0.299643,0.704148,0.443987,,5.99124,-0.0202683,-0.0496318,999.0,,,,sa3005442
Alberto Mota,TEX,0,0,0,5.84532,1,0,0,0,1,5,1,1,1,0,1,0,1,6.5106,6.8427,0.951467,1.3,0.151624,0.159359,-0.0077342242002487,0.270004,1.831,0.299018,0.698929,0.426337,,5.95991,-0.0202692,-0.0516972,999.0,,,,sa3016712
Daniel Zamora,,0,0,0,4.35947,8,0,0,1,8,35,8,4,4,1,4,0,7,7.47371,4.00995,1.86379,1.075,0.188671,0.10123,0.0874414220452308,0.255825,1.446,0.297555,0.721421,0.440823,,4.47648,-0.0202828,0.0105176,999.0,,,,17811
Junior Mieses,ARI,0,0,0,5.88051,1,0,0,0,1,5,1,1,1,0,1,0,1,6.5934,6.5889,1.00068,1.286,0.154134,0.154029,0.0001051872968673,0.268745,1.7952,0.29874,0.689713,0.406984,,5.89639,-0.0203183,-0.0470028,999.0,,,,sa3005258
Nelson L. Alvarez,TBR,0,0,0,5.47812,1,0,0,0,1,5,1,1,1,0,1,0,1,6.4647,6.246,1.03501,1.243,0.153713,0.148513,0.0052000880241394,0.264618,1.7331,0.293445,0.702584,0.434489,,5.70988,-0.0203183,-0.0562033,999.0,,,,sa3010783
Nick Snyder,,0,0,0,5.74488,1,0,0,0,1,5,1,1,1,0,1,0,1,6.3387,6.6123,0.958623,1.352,0.148618,0.155033,-0.0064148753881454,0.267345,1.7932,0.292542,0.70384,0.387993,,5.99582,-0.0203199,-0.0496318,999.0,,,,sa3011528
Bryce Tucker,,0,0,0,5.82237,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0687,6.5034,0.933158,1.334,0.141988,0.152158,-0.0101705640554428,0.272805,1.8085,0.296923,0.69938,0.406018,,5.99622,-0.0203244,-0.0496318,999.0,,,,sa1119388
Jack Little,LAD,0,0,0,6.02388,1,0,0,0,1,5,1,1,1,0,1,0,1,6.255,5.1291,1.21951,1.715,0.14895,0.122139,0.0268109738826751,0.277262,1.6922,0.294647,0.691094,0.362403,,6.05425,-0.0203263,-0.0505732,999.0,,,,sa1115817
John LaRossa,,0,0,0,5.94252,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0462,5.9157,1.02206,1.462,0.142693,0.139613,0.0030798614025115,0.274315,1.7553,0.295272,0.690304,0.388995,,5.99651,-0.0203276,-0.0496318,999.0,,,,sa3014933
Christian Tripp,,0,0,0,5.8878,1,0,0,0,1,5,1,1,1,0,1,0,1,5.9193,6.1254,0.966353,1.394,0.139373,0.144225,-0.0048527270555496,0.274167,1.7745,0.295536,0.692387,0.410009,,5.99789,-0.0203431,-0.0496318,999.0,,,,sa3007610
Daniel Procopio,,0,0,0,5.92344,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1956,6.4341,0.962932,1.377,0.145263,0.150855,-0.0055918991565704,0.272693,1.8,0.297055,0.693719,0.408011,,6.00403,-0.0204123,-0.0496318,999.0,,,,sa738270
Hector Figueroa,,0,0,0,5.90877,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5764,6.0759,0.91779,1.364,0.13116,0.142909,-0.0117485225200653,0.278241,1.7889,0.297738,0.690927,0.427001,,6.00645,-0.0204396,-0.0496318,999.0,,,,sa873724
Leoni De La Cruz,MIL,0,0,0,5.79735,1,0,0,0,1,5,1,1,1,0,1,0,1,5.9283,6.5016,0.911822,1.382,0.139054,0.152502,-0.0134473294019699,0.271776,1.8007,0.293072,0.702834,0.410039,,6.09945,-0.0204647,-0.0479359,999.0,,,,sa3016070
Tyler Thornton,CLE,0,0,0,5.7645,1,0,0,0,1,5,1,1,1,0,1,0,1,7.029,6.7077,1.0479,1.379,0.165431,0.157869,0.0075619667768478,0.262369,1.7757,0.293069,0.700684,0.406368,,5.92342,-0.0204705,-0.0514158,999.0,,,,sa3018229
Cristhian Tortosa,DET,0,0,0,5.63625,1,0,0,0,1,5,1,1,1,0,1,0,1,6.2388,7.1127,0.877135,1.156,0.145508,0.16589,-0.0203820317983627,0.266004,1.8341,0.295052,0.704235,0.417567,,5.91581,-0.0204712,-0.0519513,999.0,,,,sa920454
Soenni Martinez,,0,0,0,5.78241,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1965,6.6789,0.927773,1.318,0.144795,0.156067,-0.0112723559141159,0.270045,1.8128,0.295294,0.701963,0.402012,,6.00951,-0.0204739,-0.0496318,999.0,,,,sa3009605
Jose Rodulfo,CHW,0,0,0,5.97582,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0039,5.751,1.04397,1.608,0.141695,0.135726,0.0059685558080673,0.275485,1.7478,0.292574,0.696684,0.393502,,6.1502,-0.0205164,-0.0511913,999.0,,,,sa3002961
Rickey Ramirez,BAL,0,0,0,5.67846,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5314,5.589,0.989694,1.344,0.131269,0.132636,-0.0013669431209564,0.278045,1.7376,0.297441,0.695569,0.442191,,5.82286,-0.0205841,-0.0521181,999.0,,,,sa3004644
Trevor Tietz,MIL,0,0,0,5.96115,1,0,0,0,1,5,1,1,1,0,1,0,1,6.2451,6.4215,0.97253,1.461,0.146702,0.150846,-0.0041437745094299,0.271401,1.7908,0.293902,0.695284,0.404054,,6.11676,-0.0206581,-0.0479359,999.0,,,,sa3017897
Johan Montero,PIT,0,0,0,6.08337,1,0,0,0,1,5,1,1,1,0,1,0,1,5.4027,6.1254,0.882016,1.376,0.126193,0.143073,-0.016880378127098,0.281072,1.8129,0.299028,0.684427,0.416838,,6.08489,-0.0206959,-0.048572,999.0,,,,sa3009488
Adrian Rodriguez,TEX,0,0,0,5.86665,1,0,0,0,1,5,1,1,1,0,1,0,1,6.507,7.0983,0.916698,1.267,0.150876,0.164587,-0.0137103497982025,0.269913,1.8568,0.299772,0.69964,0.435301,,6.00094,-0.0207292,-0.0516972,999.0,,,,sa3015385
Cole Duensing,LAD,0,0,0,6.04278,1,0,0,0,1,5,1,1,1,0,1,0,1,6.201,4.9752,1.24638,1.771,0.148077,0.118805,0.0292714461684227,0.277069,1.6759,0.292425,0.690797,0.352519,,6.09104,-0.0207364,-0.0505732,999.0,,,,sa918090
Barbaro Pinero,,0,0,0,5.93613,1,0,0,0,1,5,1,1,1,0,1,0,1,5.9193,6.5565,0.902814,1.319,0.138172,0.153046,-0.0148739367723464,0.275421,1.8255,0.299,0.692763,0.431014,,6.03325,-0.0207412,-0.0496318,999.0,,,,sa3016221
Gabriel Noguera,,0,0,0,5.78124,1,0,0,0,1,5,1,1,1,0,1,0,1,6.4476,6.9489,0.927859,1.313,0.15022,0.1619,-0.0116795897483825,0.266763,1.8256,0.294019,0.704226,0.397,,6.03559,-0.0207674,-0.0496318,999.0,,,,sa3002914
Jared Wetherbee,PHI,0,0,0,5.89869,1,0,0,0,1,5,1,1,1,0,1,0,1,6.5916,7.5114,0.877546,1.329,0.152108,0.173333,-0.0212253332138061,0.266375,1.8826,0.294782,0.706798,0.413636,,6.2094,-0.0207708,-0.0472441,999.0,,,,sa3017421
Yoniel Ramirez,PHI,0,0,0,6.07923,1,0,0,0,1,5,1,1,1,0,1,0,1,5.7339,6.6051,0.868102,1.395,0.13334,0.1536,-0.0202595293521881,0.278142,1.8443,0.298553,0.691329,0.438612,,6.21063,-0.0207844,-0.0472441,999.0,,,,sa3008131
Luis Carrasco,OAK,0,0,0,5.71761,1,0,0,0,1,5,1,1,1,0,1,0,1,4.9203,5.0814,0.968296,1.349,0.117849,0.121707,-0.0038585811853408,0.28126,1.6976,0.295077,0.684992,0.430041,,5.79969,-0.020828,-0.0563902,999.0,,,,sa1172127
Konnor Ash,PHI,0,0,0,6.07419,1,0,0,0,1,5,1,1,1,0,1,0,1,6.084,6.6231,0.918603,1.469,0.141957,0.154536,-0.0125787407159805,0.273861,1.8271,0.295038,0.694425,0.410628,,6.21482,-0.0208304,-0.0472441,999.0,,,,sa3017503
Hazahel Quijada,SDP,0,0,0,5.65209,1,0,0,0,1,5,1,1,1,0,1,0,1,5.6043,7.0479,0.795173,1.205,0.130655,0.16431,-0.0336550623178482,0.270357,1.8449,0.292642,0.707048,0.449237,,6.12339,-0.0209099,-0.0520679,999.0,,,,sa3007586
Bobby Ay,ARI,0,0,0,5.98986,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1362,6.822,0.899472,1.206,0.142219,0.158114,-0.0158948749303817,0.27646,1.8569,0.305435,0.687234,0.443721,,5.94813,-0.0209107,-0.0470028,999.0,,,,sa3011535
Leonard Garcia,LAA,0,0,0,5.98734,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5494,6.2253,0.891427,1.456,0.129947,0.145774,-0.0158271938562393,0.278195,1.8059,0.295167,0.694816,0.422228,,6.20204,-0.0209709,-0.0495741,999.0,,,,sa3015156
Wandi Montout,,0,0,0,5.91516,1,0,0,0,1,5,1,1,1,0,1,0,1,5.7042,6.4053,0.890544,1.302,0.133151,0.149517,-0.0163655430078506,0.276185,1.8118,0.298132,0.69019,0.439984,,6.0559,-0.0209959,-0.0496318,999.0,,,,sa3011422
Jose Diaz,DET,0,0,0,5.87745,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0309,6.6573,0.905908,1.269,0.141193,0.155858,-0.0146649926900863,0.27152,1.815,0.296679,0.69226,0.411102,,5.96233,-0.0210054,-0.0519513,999.0,,,,sa3005709
Andrew Marrero,STL,0,0,0,5.74029,1,0,0,0,1,5,1,1,1,0,1,0,1,6.4044,6.7338,0.951083,1.328,0.150635,0.158383,-0.0077476650476455,0.264456,1.7864,0.29043,0.700902,0.400653,,6.00205,-0.0210221,-0.0515863,999.0,,,,sa3016941
Cam Wynne,PHI,0,0,0,6.08931,1,0,0,0,1,5,1,1,1,0,1,0,1,5.7546,6.4422,0.893266,1.467,0.134328,0.150378,-0.0160504132509231,0.276847,1.8228,0.295351,0.692023,0.419627,,6.23683,-0.0210721,-0.0472441,999.0,,,,sa3017492
Danny Cody,,0,0,0,6.01578,1,0,0,0,1,5,1,1,1,0,1,0,1,6.0291,5.9436,1.01439,1.496,0.142018,0.140004,0.0020139962434768,0.274543,1.7603,0.294519,0.688732,0.379995,,6.06562,-0.0211052,-0.0496318,999.0,,,,sa3010662
Yordy Richard,STL,0,0,0,5.77404,1,0,0,0,1,5,1,1,1,0,1,0,1,5.3046,6.2325,0.851119,1.282,0.125005,0.146872,-0.0218663960695266,0.276694,1.792,0.295218,0.694723,0.441711,,6.00931,-0.0211053,-0.0515863,999.0,,,,sa3009755
Bowen Plagge,CHW,0,0,0,5.99076,1,0,0,0,1,5,1,1,1,0,1,0,1,5.6754,6.5925,0.860887,1.388,0.131732,0.153019,-0.0212868303060531,0.278875,1.8492,0.298955,0.697182,0.454193,,6.20422,-0.0211164,-0.0512011,999.0,,,,sa3018237
Osiel Rodriguez,NYY,0,0,0,5.79357,1,0,0,0,1,5,1,1,1,0,1,0,1,6.1272,6.0426,1.014,1.433,0.144115,0.142125,0.0019898414611816,0.272752,1.7644,0.29482,0.699454,0.421647,,5.97082,-0.0211222,-0.05322,999.0,,,,sa3009991
Miguel Guerrero,MIL,0,0,0,5.93793,1,0,0,0,1,5,1,1,1,0,1,0,1,5.8482,5.5944,1.04537,1.587,0.138876,0.132849,0.0060269236564636,0.272104,1.7083,0.287403,0.690418,0.380793,,6.16106,-0.0211526,-0.0479359,999.0,,,,sa3014872
Alex Garbrick,PHI,0,0,0,6.10947,1,0,0,0,1,5,1,1,1,0,1,0,1,5.877,6.7698,0.86812,1.417,0.136468,0.1572,-0.0207314640283584,0.276521,1.8548,0.297504,0.692985,0.429051,,6.24601,-0.0211729,-0.0472441,999.0,,,,sa3017465
Erick Rodriguez,DET,0,0,0,5.89203,1,0,0,0,1,5,1,1,1,0,1,0,1,5.2137,5.8734,0.88768,1.328,0.123098,0.138674,-0.0155758634209632,0.278732,1.7687,0.295527,0.686054,0.414104,,5.97745,-0.0211789,-0.0519513,999.0,,,,sa3015155
Kolby Kubichek,NYM,0,0,0,5.71122,1,0,0,0,1,5,1,1,1,0,1,0,1,5.6556,6.2019,0.911914,1.265,0.13277,0.145595,-0.0128248482942581,0.276681,1.7948,0.299052,0.698113,0.454583,,5.89295,-0.0212269,-0.0555289,999.0,,,,sa3017271
Rafael Monsion,,0,0,0,5.92335,1,0,0,0,1,5,1,1,1,0,1,0,1,5.5935,6.1119,0.915182,1.407,0.131229,0.143391,-0.0121621489524841,0.277351,1.7915,0.295724,0.69425,0.397996,,6.07736,-0.0212271,-0.0496221,999.0,,,,sa3003096
Enmanuel Solano,,0,0,0,6.01632,1,0,0,0,1,5,1,1,1,0,1,0,1,4.9446,5.7294,0.863022,1.352,0.115858,0.134247,-0.0183888748288154,0.285796,1.7907,0.30069,0.682047,0.445997,,6.07792,-0.0212435,-0.0496318,999.0,,,,sa921578
Marc Davis,WSN,0,0,0,6.21099,1,0,0,0,1,5,1,1,1,0,1,0,1,5.9013,6.7275,0.877191,1.467,0.137233,0.156446,-0.0192130506038665,0.275622,1.845,0.295429,0.68852,0.401922,,6.30833,-0.0212515,-0.0465365,999.0,,,,sa3017722
