Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Nathan Eovaldi,TEX,9,10,13,3.91937,28,28,0,0,155,649,154,73,68,21,34,6,140,8.09857,1.99969,4.04992,1.221,0.215152,0.053125,0.162026971578598,0.252562,1.21301,0.296149,0.725022,0.431318,,3.85418,2.25489,1.91897,244.4499969482422,,,,9132
Kodai Senga,NYM,10,9,13,3.73051,34,26,0,1,156,659,135,70,65,19,61,5,178,10.264,3.51196,2.92258,1.079,0.269512,0.0922171,0.1772947162389755,0.227841,1.25763,0.293519,0.742649,0.408914,,3.66339,2.24747,1.95789,999.0,,,,31838
Chris Bassitt,TOR,11,10,16,3.9928,31,31,0,0,180,757,173,86,80,23,50,10,160,8.0064,2.51792,3.17977,1.163,0.211369,0.0664729,0.1448958963155746,0.248648,1.24298,0.292118,0.718112,0.443006,,4.01801,2.24691,2.06481,152.08999633789062,,,,12304
GermÃ¡n MÃ¡rquez,COL,10,13,14,4.8775,32,32,0,0,193,841,215,112,105,28,64,6,169,7.8607,2.96439,2.65171,1.309,0.200448,0.075592,0.1248559728264808,0.278296,1.44178,0.324664,0.694983,0.473626,,4.33671,2.23648,2.19125,457.0,,,,15038
Ranger SuÃ¡rez,PHI,11,10,15,3.90845,31,31,0,0,174,748,173,83,76,19,63,6,148,7.63569,3.27503,2.33149,0.981,0.19751,0.0847141,0.1127959266304969,0.254796,1.35673,0.300708,0.731213,0.50956,,4.02938,2.22989,2.54181,277.45001220703125,,,,17277
Drew Rasmussen,TBR,11,10,15,3.82557,31,31,0,0,173,727,167,80,74,21,49,6,155,8.07297,2.56152,3.15163,1.068,0.213844,0.067852,0.1459920704364776,0.247956,1.24603,0.294492,0.725428,0.456502,,3.81289,2.21945,1.95305,172.32000732421875,,,,25385
Nestor Cortes,NYY,11,10,15,3.92809,29,29,0,0,167,703,152,78,73,26,48,5,176,9.50928,2.59223,3.66837,1.391,0.251045,0.068435,0.1826099082827568,0.233716,1.19697,0.281704,0.7446,0.335257,,3.96748,2.2188,1.93662,112.7300033569336,,,,17874
Triston McKenzie,CLE,11,11,16,4.10747,31,31,0,0,184,772,166,89,84,29,59,6,192,9.40078,2.8786,3.26575,1.423,0.248285,0.076027,0.1722580268979072,0.235275,1.22643,0.282373,0.736076,0.333635,,4.13984,2.20574,2.07346,83.44999694824219,,,,18000
Dustin May,LAD,8,7,9,3.62332,37,19,2,1,125,524,112,55,50,14,40,6,138,9.92261,2.89567,3.42671,1.015,0.26344,0.0768784,0.1865611895918846,0.234659,1.21712,0.300957,0.735231,0.468174,,3.48173,2.18677,1.89291,159.08999633789062,,,,19716
Logan Gilbert,SEA,11,11,16,3.84725,31,31,0,0,176,735,163,81,75,24,47,7,173,8.84735,2.3995,3.68716,1.244,0.235831,0.0639601,0.171871080994606,0.23932,1.19114,0.286775,0.733511,0.375992,,3.85897,2.1768,1.99374,112.0,,,,22250
Eduardo Rodriguez,DET,10,11,15,3.9329,29,29,0,0,169,719,165,80,74,20,55,5,152,8.07811,2.91927,2.76717,1.061,0.211467,0.0764201,0.1350469663739204,0.249721,1.29547,0.296946,0.72682,0.430627,,3.91703,2.1716,2.10284,336.1400146484375,,,,13164
Sonny Gray,MIN,9,9,12,3.98602,28,28,0,0,148,636,142,71,66,17,51,7,143,8.67138,3.07212,2.82261,1.039,0.224685,0.0796019,0.1450829654932022,0.245594,1.2994,0.298582,0.719407,0.448422,,3.84782,2.141,1.59796,213.58999633789065,,,,12768
Merrill Kelly,ARI,11,12,17,4.30374,32,32,0,0,197,841,201,101,94,26,59,5,169,7.73623,2.71493,2.84951,1.2,0.201056,0.070558,0.1304980218410492,0.25965,1.32617,0.301804,0.712172,0.415034,,4.11531,2.10356,2.17403,240.7700042724609,,,,11156
Miles Mikolas,STL,11,11,17,4.10341,31,31,0,0,191,804,198,94,87,25,44,7,144,6.78788,2.06841,3.2817,1.179,0.178672,0.054445,0.1242269501090049,0.262296,1.26644,0.295289,0.712943,0.447716,,4.11429,2.06572,2.09947,243.2700042724609,,,,9803
Joe Ryan,MIN,10,10,14,4.16306,29,29,0,0,166,706,153,82,77,26,50,8,172,9.29989,2.71871,3.4207,1.391,0.243554,0.0712001,0.1723540127277374,0.235897,1.22067,0.282332,0.725355,0.310746,,4.10093,2.03356,1.54794,140.13999938964844,,,,21390
JosÃ© BerrÃ­os,TOR,11,10,15,4.13891,31,31,0,0,176,747,173,87,81,26,47,9,159,8.13437,2.38558,3.40982,1.309,0.212759,0.062396,0.1503629274666309,0.250321,1.24902,0.290997,0.720681,0.416127,,4.14752,1.98254,1.71454,248.08999633789065,,,,14168
Lucas Giolito,CHW,10,11,15,4.11401,31,31,0,0,176,745,164,86,80,26,58,5,180,9.20139,2.95671,3.11203,1.354,0.240974,0.077433,0.1635410487651825,0.240707,1.26345,0.289342,0.734105,0.389559,,4.09923,1.97893,1.89517,149.77000427246094,,,,15474
Jameson Taillon,CHC,10,12,14,4.36879,31,31,0,0,178,758,182,93,87,27,44,7,152,7.65585,2.2409,3.41641,1.347,0.200328,0.058637,0.1416910924017429,0.258211,1.27138,0.294918,0.707403,0.392216,,4.21704,1.9519,1.61054,244.72999572753903,,,,11674
Aaron Ashby,MIL,8,6,7,3.28701,57,15,2,1,119,497,101,48,43,11,48,5,134,10.1096,3.66168,2.76093,0.798,0.268609,0.0972893,0.1713196560740471,0.227046,1.25467,0.300992,0.752896,0.522582,,3.36186,1.9164,2.20843,232.17999267578125,,,,23550
Garrett Whitlock,BOS,8,8,9,4.04067,41,21,0,1,135,569,131,65,60,17,39,5,130,8.71397,2.57603,3.38271,1.137,0.22944,0.0678274,0.1616130098700523,0.250067,1.26091,0.302643,0.716282,0.432775,,3.78497,1.91145,1.70262,298.7300109863281,,,,20191
JosÃ© Quintana,NYM,10,9,14,3.80946,29,29,0,0,158,674,153,73,67,19,51,5,146,8.28651,2.89473,2.86261,1.059,0.216554,0.075649,0.1409049034118652,0.247657,1.28767,0.296393,0.736058,0.449158,,3.85368,1.90509,1.84102,331.32000732421875,,,,11423
Sean Manaea,SFG,9,10,13,4.06058,28,28,0,0,156,659,154,76,70,20,44,6,146,8.40934,2.54221,3.30788,1.179,0.221446,0.0669449,0.1545008718967437,0.252426,1.26702,0.301077,0.720761,0.414518,,3.90383,1.88539,1.89702,297.3599853515625,,,,15873
Roansy Contreras,PIT,9,10,12,4.31386,28,28,0,0,153,660,147,79,73,21,57,5,144,8.48501,3.34344,2.53781,1.241,0.218442,0.0860751,0.1323670223355293,0.246479,1.33491,0.291907,0.718221,0.393842,,4.24105,1.8738,1.48078,292.95001220703125,,,,22810
Reid Detmers,LAA,9,9,12,4.1665,28,28,0,0,150,637,138,74,69,22,54,7,154,9.22142,3.21382,2.86931,1.311,0.240884,0.083952,0.1569319516420364,0.238985,1.27731,0.288984,0.728249,0.37233,,4.16582,1.87256,1.69393,209.22999572753903,,,,27468
Luis Garcia,HOU,10,9,13,4.1278,28,28,0,0,157,664,147,77,72,23,50,5,157,9.01581,2.87339,3.13769,1.312,0.237216,0.0756021,0.1616139337420463,0.241954,1.25654,0.290326,0.726652,0.380619,,4.05162,1.8677,1.67101,150.27000427246094,,,,23735
Frankie Montas,NYY,8,7,11,3.78324,23,23,0,0,127,532,118,58,53,17,37,5,126,8.91594,2.59677,3.43348,1.177,0.235876,0.068699,0.1671772748231887,0.240895,1.22147,0.291551,0.737056,0.434045,,3.81258,1.86241,1.63484,212.67999267578125,,,,14309
Freddy Peralta,MIL,8,8,10,3.99242,24,24,0,0,129,546,112,61,57,18,49,6,141,9.80912,3.41369,2.87347,1.27,0.25798,0.08978,0.1682001799345016,0.227894,1.24499,0.282195,0.735678,0.349623,,4.04528,1.86241,1.91226,140.4499969482422,,,,18679
